Doc Type,Document.No,Posting Date,Bill.No,Bill.Date,Gross,Net.Amt Deductions,TDS,D/C
RE,5001162112,21222382,103459.95,103378.95,26.11.2021,10.11.2021,81.00,C
RE,5001162115,21222383,48445.52,48407.52,26.11.2021,11.11.2021,38.00,C
RE,5001162118,21222384,48649.90,48610.90,26.11.2021,11.11.2021,39.00,C
RE,5001162125,21222385,77605.40,77544.40,26.11.2021,11.11.2021,61.00,C
RE,5001162133,21222386,25867.80,25846.80,26.11.2021,11.11.2021,21.00,C
RE,5001162135,21222387,8277.60,8269.60,26.11.2021,11.11.2021,8.00,C
RE,5001162137,21222396,103459.95,103378.95,26.11.2021,11.11.2021,81.00,C
RE,5001162138,21222413,28751.00,28728.00,26.11.2021,11.11.2021,23.00,C
RE,5001162140,21222415,4135.00,4131.00,26.11.2021,11.11.2021,4.00,C
RE,5001162143,21222416,7020.60,7014.60,26.11.2021,11.11.2021,6.00,C
RE,5001162145,21222417,10762.28,10752.28,26.11.2021,11.11.2021,10.00,C
RE,5001162147,21222418,62709.17,62655.17,26.11.2021,11.11.2021,54.00,C
RE,5001162149,21222388,8358.00,8351.00,26.11.2021,11.11.2021,7.00,C
RE,5001162152,21222389,5584.00,5579.00,26.11.2021,11.11.2021,5.00,C
RE,5001162155,21222390,5584.00,5579.00,26.11.2021,11.11.2021,5.00,C
RE,5001162159,21222391,5584.00,5579.00,26.11.2021,11.11.2021,5.00,C
RE,5001162163,21222392,8375.00,8368.00,26.11.2021,11.11.2021,7.00,C
RE,5001162165,21222393,2791.00,2788.00,26.11.2021,11.11.2021,3.00,C
RE,5001162169,21222394,9930.00,9922.00,26.11.2021,11.11.2021,8.00,C
RE,5001162172,21222395,9930.00,9922.00,26.11.2021,11.11.2021,8.00,C
RE,5001162175,21222397,13184.00,13173.00,26.11.2021,11.11.2021,11.00,C
RE,5001162178,21222398,13184.00,13173.00,26.11.2021,11.11.2021,11.00,C
RE,5001162180,21222399,2567.00,2564.00,26.11.2021,11.11.2021,3.00,C
RE,5001162183,21222400,6666.00,6660.00,26.11.2021,11.11.2021,6.00,C
RE,5001162186,21222401,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162188,21222402,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162192,21222403,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162194,21222404,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162197,21222407,3923.00,3919.00,26.11.2021,11.11.2021,4.00,C
RE,5001162202,21222408,8336.00,8329.00,26.11.2021,11.11.2021,7.00,C
RE,5001162209,21222409,13688.00,13677.00,26.11.2021,11.11.2021,11.00,C
RE,5001162214,21222410,24542.50,24522.50,26.11.2021,11.11.2021,20.00,C
RE,5001162218,21222411,10086.00,10078.00,26.11.2021,11.11.2021,8.00,C
RE,5001162220,21222412,4368.00,4364.00,26.11.2021,11.11.2021,4.00,C
RE,5001162222,21222419,103459.95,103378.95,26.11.2021,11.11.2021,81.00,C
RE,5001162230,21222429,48445.52,48407.52,26.11.2021,12.11.2021,38.00,C
RE,5001162246,21222447,103459.95,103378.95,26.11.2021,12.11.2021,81.00,C
RE,5001162248,21222428,9930.00,9922.00,26.11.2021,12.11.2021,8.00,C
RE,5001162252,21222432,13332.00,13321.00,26.11.2021,12.11.2021,11.00,C
RE,5001162255,21222433,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162259,21222434,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162261,21222435,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162264,21222436,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162268,21222437,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162271,21222440,13688.00,13677.00,26.11.2021,12.11.2021,11.00,C
RE,5001162274,21222441,12760.00,12750.00,26.11.2021,12.11.2021,10.00,C
RE,5001162278,21222442,10086.00,10078.00,26.11.2021,12.11.2021,8.00,C
RE,5001162282,21222443,1198.00,1197.00,26.11.2021,12.11.2021,1.00,C
RE,5001162285,21222444,24542.50,24522.50,26.11.2021,12.11.2021,20.00,C
RE,5001162291,21222445,5584.00,5579.00,26.11.2021,12.11.2021,5.00,C
RE,5001162293,21222446,74506.40,74442.40,26.11.2021,12.11.2021,64.00,C
RE,5001162296,21222438,5830.00,5825.00,26.11.2021,12.11.2021,5.00,C
RE,5001162300,21222405,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162301,21222406,5830.00,5825.00,26.11.2021,11.11.2021,5.00,C
RE,5001162303,21222414,7788.00,7781.00,26.11.2021,11.11.2021,7.00,C
RE,5001162306,21222422,3337.20,3334.20,26.11.2021,12.11.2021,3.00,C
RE,5001162307,21222423,10918.00,10909.00,26.11.2021,12.11.2021,9.00,C
RE,5001162310,21222424,13184.00,13173.00,26.11.2021,12.11.2021,11.00,C
RE,5001162312,21222425,8358.00,8351.00,26.11.2021,12.11.2021,7.00,C
RE,5001162318,21222426,9930.00,9922.00,26.11.2021,12.11.2021,8.00,C
RE,5001162323,21222427,9930.00,9922.00,26.11.2021,12.11.2021,8.00,C
RE,5001162872,21222430,48649.90,48610.90,26.11.2021,12.11.2021,39.00,C
RE,5001162876,21222431,103473.20,103392.20,26.11.2021,12.11.2021,81.00,C
